City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,khonsa,27.0167,95.5667,287.35,83,0,1.66,IN,1699653069
261,luganville,-15.5333,167.1667,299.29,83,100,6.52,VU,1699653069
262,carnarvon,-24.8667,113.6333,293.65,73,100,9.0,AU,1699653069
263,rio san juan,19.6439,-70.0763,300.1,82,100,5.26,DO,1699653069
264,tsiombe,-25.3,45.4833,294.02,61,88,3.52,MG,1699653070
265,westport,41.1415,-73.3579,284.17,59,0,3.6,US,1699653070
266,boromo,11.75,-2.9333,302.39,31,13,0.34,BF,1699653070
267,savanna-la-mar,18.219,-78.1332,303.12,82,50,1.18,JM,1699653071
268,champerico,14.3,-91.9167,308.45,74,14,3.29,GT,1699653071
269,natal,-5.795,-35.2094,300.51,69,40,4.63,BR,1699652898
270,dawson creek,55.7666,-120.2362,278.95,45,0,7.2,CA,1699653071
271,usinsk,65.9939,57.5281,267.63,81,99,2.24,RU,1699653071
272,isfahan,32.6572,51.6776,276.95,34,5,0.42,IR,1699653072
273,la cumbre,-30.982,-64.4914,296.65,75,100,3.6,AR,1699653072
274,bria,6.5423,21.9863,294.7,95,91,0.48,CF,1699653072
275,canmore,51.0834,-115.3521,279.16,48,23,2.06,CA,1699652810
276,grajau,-5.8194,-46.1386,301.6,57,7,1.65,BR,1699652778
277,vadso,70.0744,29.7487,271.24,86,40,6.69,NO,1699653073
278,tahara,34.6667,137.2667,288.12,50,40,10.3,JP,1699653073
279,la foa,-21.7108,165.8276,297.07,52,66,2.83,NC,1699653073
280,piton saint-leu,-21.2196,55.3151,296.71,73,75,2.06,RE,1699653073
281,tanah merah,5.8,102.15,298.05,99,99,0.23,MY,1699653074
282,kuta,-8.7233,115.1723,299.12,88,20,2.68,ID,1699653074
283,rosales,15.8944,120.6328,296.74,87,93,1.33,PH,1699653074
284,mount pearl,47.5166,-52.7813,276.11,90,75,10.29,CA,1699653074
285,pittsburg,38.028,-121.8847,295.03,36,0,0.89,US,1699652978
286,pianoro,44.393,11.3423,283.5,92,40,3.6,IT,1699653075
287,kharkhorin,47.1975,102.8238,256.38,85,2,2.27,MN,1699653075
288,pemangkat,1.1667,108.9667,298.7,87,100,2.42,ID,1699653075
289,feijo,-8.1642,-70.3536,300.34,72,83,1.44,BR,1699653075
290,choyr,46.3611,108.3611,252.71,93,11,2.41,MN,1699653075
291,khanty-mansiysk,61.0042,69.0019,270.21,100,100,2.0,RU,1699653076
292,belmonte,-15.8631,-38.8828,298.43,81,2,5.64,BR,1699653076
293,owerri,5.4833,7.0304,296.29,93,94,1.62,NG,1699653076
